,<built-in function id>,hits
171,33629,1.0
172,33630,1.0
173,33631,0.0
174,33632,0.0
175,33633,1.0
176,33634,1.0
177,33635,0.0
178,33636,1.0
179,33637,0.0
180,33638,1.0
181,33639,1.0
182,33640,1.0
183,33641,1.0
184,33642,1.0
185,33643,0.0
186,33644,1.0
187,33645,1.0
188,33646,1.0
189,33647,0.0
190,33648,1.0
191,33649,0.0
192,33650,1.0
193,33651,0.0
194,33652,0.0
195,33653,1.0
196,33654,1.0
197,33655,1.0
198,33656,0.0
199,33657,1.0
200,33658,1.0
201,33659,0.0
202,33660,1.0
203,33661,1.0
204,33662,1.0
205,33663,1.0
206,33664,0.0
207,33665,0.0
208,33666,0.0
209,33667,1.0
210,33668,1.0
211,33669,1.0
212,33670,1.0
213,33671,1.0
214,33672,0.0
215,33673,1.0
216,33674,1.0
217,33675,1.0
218,33676,1.0
219,33677,1.0
220,33678,1.0
221,33679,0.0
222,33680,1.0
223,33681,1.0
224,33682,1.0
225,33683,1.0
226,33684,1.0
227,33685,0.0
228,33686,1.0
229,33687,0.0
230,33688,1.0
231,33689,1.0
232,33690,1.0
233,33691,1.0
234,33692,0.0
235,33693,1.0
236,33694,1.0
237,33695,0.0
238,33696,0.0
239,33697,1.0
240,33698,1.0
241,33699,1.0
242,33700,1.0
243,33701,0.0
244,33702,0.0
245,33703,1.0
246,33704,1.0
247,33705,1.0
248,33706,1.0
249,33707,1.0
250,33708,1.0
251,33709,1.0
252,33710,0.0
253,33711,1.0
254,33712,0.0
255,33713,1.0
256,33714,1.0
257,33715,1.0
258,33716,1.0
259,33717,1.0
260,33718,1.0
261,33719,0.0
262,33720,0.0
263,33721,0.0
264,33722,0.0
265,33723,1.0
266,33724,1.0
267,33725,1.0
268,33726,1.0
269,33727,1.0
270,33728,1.0
271,33729,1.0
272,33730,1.0
273,33731,1.0
274,33732,1.0
275,33733,1.0
276,33734,1.0
277,33735,1.0
278,33736,1.0
279,33737,0.0
280,33738,1.0
281,33739,1.0
282,33740,1.0
283,33741,0.0
284,33742,1.0
285,33743,0.0
286,33744,1.0
287,33745,1.0
288,33746,1.0
289,33747,1.0
290,33748,1.0
291,33749,1.0
292,33750,1.0
293,33751,1.0
294,33752,1.0
295,33753,1.0
296,33754,1.0
297,33755,1.0
298,33756,1.0
299,33757,1.0
300,33758,1.0
301,33759,1.0
302,33760,1.0
303,33761,1.0
304,33762,1.0
305,33763,1.0
306,33764,0.0
307,33765,1.0
308,33766,1.0
309,33767,0.0
310,33768,1.0
311,33769,1.0
312,33770,1.0
313,33771,1.0
314,33772,1.0
315,33773,1.0
316,33774,0.0
317,33775,1.0
318,33776,1.0
319,33777,1.0
320,33778,1.0
321,33779,1.0
322,33780,1.0
323,33781,0.0
324,33782,1.0
325,33783,1.0
326,33784,1.0
327,33785,1.0
328,33786,1.0
329,33787,0.0
330,33788,1.0
331,33789,1.0
332,33790,1.0
333,33791,1.0
334,33792,1.0
335,33793,1.0
336,33794,1.0
337,33795,1.0
338,33796,1.0
339,33797,1.0
340,33798,1.0
341,33799,1.0
342,33800,1.0
343,33801,0.0
344,33802,1.0
345,33803,1.0
346,33804,1.0
347,33805,1.0
348,33806,1.0
349,33807,1.0
350,33808,1.0
351,33809,1.0
352,33810,1.0
353,33811,0.0
354,33812,1.0
355,33813,0.0
356,33814,0.0
357,33815,1.0
358,33816,1.0
359,33817,0.0
360,33818,1.0
361,33819,1.0
362,33820,1.0
363,33821,0.0
364,33822,1.0
365,33823,1.0
366,33824,1.0
367,33825,0.0
368,33826,1.0
369,33827,0.0
370,33828,1.0
371,33829,1.0
372,33830,0.0
373,33831,0.0
374,33832,1.0
375,33833,0.0
376,33834,1.0
377,33835,1.0
378,33836,1.0
379,33837,1.0
380,33838,1.0
381,33839,0.0
382,33840,1.0
383,33841,0.0
384,33842,0.0
385,33843,1.0
386,33844,1.0
387,33845,1.0
388,33846,1.0
389,33847,1.0
390,33848,1.0
391,33849,1.0
392,33850,1.0
393,33851,0.0
394,33852,1.0
395,33853,0.0
396,33854,1.0
397,33855,1.0
398,33856,1.0
399,33857,1.0
400,33858,1.0
401,33859,0.0
402,33860,1.0
403,33861,1.0
404,33862,1.0
405,33863,1.0
406,33864,1.0
407,33865,1.0
408,33866,1.0
409,33867,0.0
410,33868,1.0
411,33869,0.0
412,33870,1.0
413,33871,1.0
414,33872,0.0
415,33873,0.0
416,33874,1.0
417,33875,1.0
418,33876,0.0
419,33877,0.0
420,33878,1.0
421,33879,1.0
422,33880,0.0
423,33881,1.0
424,33882,1.0
425,33883,1.0
426,33884,1.0
427,33885,1.0
428,33886,0.0
429,33887,1.0
430,33888,1.0
431,33889,1.0
432,33890,0.0
433,33891,1.0
434,33892,1.0
435,33893,1.0
436,33894,1.0
437,33895,0.0
438,33896,1.0
439,33897,1.0
440,33898,1.0
441,33899,1.0
442,33900,1.0
443,33901,1.0
444,33902,1.0
445,33903,0.0
446,33904,1.0
447,33905,1.0
448,33906,1.0
449,33907,1.0
450,33908,1.0
451,33909,1.0
452,33910,0.0
453,33911,1.0
454,33912,1.0
455,33913,1.0
456,33914,1.0
457,33915,1.0
458,33916,0.0
459,33917,1.0
460,33918,1.0
461,33919,1.0
462,33920,1.0
463,33921,1.0
464,33922,0.0
465,33923,1.0
466,33924,1.0
467,33925,1.0
468,33926,1.0
469,33927,0.0
470,33928,1.0
471,33929,0.0
472,33930,0.0
473,33931,0.0
474,33932,1.0
475,33933,1.0
476,33934,0.0
477,33935,0.0
478,33936,1.0
479,33937,0.0
480,33938,1.0
481,33939,1.0
482,33940,1.0
483,33941,1.0
484,33942,1.0
485,33943,0.0
486,33944,1.0
487,33945,1.0
488,33946,0.0
489,33947,1.0
490,33948,1.0
491,33949,1.0
492,33950,1.0
493,33951,1.0
494,33952,1.0
495,33953,0.0
496,33954,1.0
497,33955,1.0
498,33956,1.0
499,33957,0.0
500,33958,1.0
501,33959,1.0
502,33960,1.0
503,33961,1.0
504,33962,1.0
505,33963,1.0
506,33964,1.0
507,33965,1.0
508,33966,1.0
509,33967,1.0
510,33968,1.0
511,33969,1.0
512,33970,0.0
513,33971,1.0
514,33972,1.0
515,33973,1.0
516,33974,1.0
517,33975,1.0
518,33976,1.0
519,33977,0.0
520,33978,1.0
521,33979,0.0
522,33980,1.0
523,33981,1.0
524,33982,1.0
525,33983,1.0
526,33984,1.0
527,33985,1.0
528,33986,0.0
529,33987,0.0
530,33988,1.0
531,33989,1.0
532,33990,0.0
533,33991,1.0
534,33992,1.0
535,33993,1.0
536,33994,1.0
537,33995,1.0
538,33996,1.0
539,33997,0.0
540,33998,1.0
541,33999,1.0
542,34000,1.0
543,34001,1.0
544,34002,1.0
545,34003,1.0
546,34004,1.0
547,34005,1.0
548,34006,1.0
549,34007,1.0
550,34008,1.0
551,34009,1.0
552,34010,1.0
553,34011,1.0
554,34012,1.0
555,34013,1.0
556,34014,0.0
557,34015,0.0
558,34016,1.0
559,34017,1.0
560,34018,1.0
561,34019,1.0
562,34020,1.0
563,34021,0.0
564,34022,0.0
565,34023,1.0
566,34024,1.0
567,34025,1.0
568,34026,0.0
569,34027,1.0
570,34028,0.0
571,34029,1.0
572,34030,1.0
573,34031,1.0
574,34032,1.0
575,34033,1.0
576,34034,1.0
577,34035,1.0
578,34036,1.0
579,34037,1.0
580,34038,0.0
581,34039,1.0
582,34040,1.0
583,34041,1.0
584,34042,0.0
585,34043,0.0
586,34044,1.0
587,34045,1.0
588,34046,1.0
589,34047,0.0
590,34048,1.0
591,34049,1.0
592,34050,0.0
593,34051,1.0
594,34052,0.0
595,34053,1.0
596,34054,0.0
597,34055,1.0
598,34056,1.0
599,34057,0.0
600,34058,1.0
601,34059,1.0
602,34060,1.0
603,34061,1.0
604,34062,0.0
605,34063,0.0
606,34064,0.0
607,34065,1.0
608,34066,1.0
609,34067,1.0
610,34068,1.0
611,34069,1.0
612,34070,1.0
613,34071,1.0
614,34072,0.0
615,34073,1.0
616,34074,0.0
617,34075,1.0
618,34076,1.0
619,34077,1.0
620,34078,1.0
621,34079,1.0
622,34080,1.0
623,34081,1.0
624,34082,1.0
625,34083,1.0
626,34084,1.0
627,34085,1.0
628,34086,1.0
629,34087,1.0
630,34088,1.0
631,34089,0.0
632,34090,1.0
633,34091,1.0
634,34092,1.0
635,34093,1.0
636,34094,0.0
637,34095,1.0
638,34096,1.0
639,34097,1.0
640,34098,1.0
641,34099,1.0
642,34100,0.0
643,34101,0.0
644,34102,1.0
645,34103,1.0
646,34104,1.0
647,34105,1.0
648,34106,0.0
649,34107,0.0
650,34108,1.0
651,34109,1.0
652,34110,1.0
653,34111,1.0
654,34112,1.0
655,34113,1.0
656,34114,1.0
657,34115,1.0
658,34116,1.0
659,34117,1.0
660,34118,1.0
661,34119,1.0
662,34120,1.0
663,34121,1.0
664,34122,1.0
665,34123,0.0
666,34124,1.0
667,34125,1.0
668,34126,0.0
669,34127,1.0
670,34128,1.0
671,34129,1.0
672,34130,1.0
673,34131,0.0
674,34132,1.0
675,34133,1.0
676,34134,1.0
677,34135,0.0
678,34136,1.0
679,34137,1.0
680,34138,1.0
681,34139,1.0
682,34140,1.0
683,34141,1.0
684,34142,1.0
685,34143,1.0
686,34144,0.0
687,34145,1.0
688,34146,0.0
689,34147,1.0
690,34148,0.0
691,34149,1.0
692,34150,0.0
693,34151,1.0
694,34152,1.0
695,34153,0.0
696,34154,1.0
697,34155,1.0
698,34156,1.0
699,34157,1.0
700,34158,1.0
701,34159,0.0
702,34160,1.0
703,34161,1.0
704,34162,0.0
705,34163,1.0
706,34164,0.0
707,34165,1.0
708,34166,1.0
709,34167,0.0
710,34168,1.0
711,34169,1.0
712,34170,1.0
713,34171,1.0
714,34172,1.0
715,34173,0.0
716,34174,0.0
717,34175,1.0
718,34176,0.0
719,34177,1.0
720,34178,0.0
721,34179,0.0
722,34180,1.0
723,34181,0.0
724,34182,1.0
725,34183,0.0
726,34184,1.0
727,34185,1.0
728,34186,1.0
729,34187,1.0
730,34188,1.0
731,34189,1.0
732,34190,1.0
733,34191,0.0
734,34192,1.0
735,34193,0.0
736,34194,0.0
737,34195,0.0
738,34196,1.0
739,34197,1.0
740,34198,1.0
741,34199,1.0
742,34200,1.0
743,34201,0.0
744,34202,1.0
745,34203,1.0
746,34204,0.0
747,34205,1.0
748,34206,1.0
749,34207,1.0
750,34208,1.0
751,34209,1.0
752,34210,1.0
753,34211,1.0
754,34212,0.0
755,34213,1.0
756,34214,1.0
757,34215,1.0
758,34216,1.0
759,34217,1.0
760,34218,1.0
761,34219,1.0
762,34220,1.0
763,34221,1.0
764,34222,1.0
765,34223,1.0
766,34224,1.0
767,34225,1.0
768,34226,0.0
769,34227,1.0
770,34228,1.0
771,34229,1.0
772,34230,0.0
773,34231,0.0
774,34232,1.0
775,34233,0.0
776,34234,1.0
777,34235,0.0
778,34236,1.0
779,34237,1.0
780,34238,1.0
781,34239,1.0
782,34240,1.0
783,34241,0.0
784,34242,1.0
785,34243,0.0
786,34244,1.0
787,34245,0.0
788,34246,1.0
789,34247,1.0
790,34248,1.0
791,34249,0.0
792,34250,1.0
793,34251,0.0
794,34252,0.0
795,34253,0.0
796,34254,0.0
797,34255,0.0
798,34256,0.0
799,34257,0.0
800,34258,1.0
801,34259,0.0
802,34260,1.0
803,34261,0.0
804,34262,0.0
805,34263,0.0
806,34264,1.0
807,34265,1.0
808,34266,0.0
809,34267,0.0
810,34268,0.0
811,34269,0.0
812,34270,0.0
813,34271,0.0
814,34272,0.0
815,34273,1.0
816,34274,0.0
817,34275,1.0
818,34276,1.0
819,34277,0.0
820,34278,0.0
821,34279,0.0
822,34280,1.0
823,34281,0.0
824,34282,0.0
825,34283,0.0
826,34284,0.0
827,34285,1.0
828,34286,1.0
829,34287,0.0
830,34288,0.0
831,34289,0.0
832,34290,0.0
833,34291,0.0
834,34292,0.0
835,34293,0.0
836,34294,1.0
837,34295,0.0
838,34296,0.0
839,34297,1.0
840,34298,0.0
841,34299,0.0
842,34300,0.0
843,34301,1.0
844,34302,0.0
845,34303,1.0
846,34304,0.0
847,34305,0.0
848,34306,0.0
849,34307,0.0
850,34308,1.0
851,34309,0.0
852,34310,1.0
853,34311,0.0
854,34312,0.0
855,34313,0.0
856,34314,1.0
857,34315,1.0
858,34316,0.0
859,34317,0.0
860,34318,0.0
861,34319,0.0
862,34320,0.0
863,34321,1.0
864,34322,0.0
865,34323,1.0
866,34324,0.0
867,34325,1.0
868,34326,0.0
869,34327,1.0
870,34328,1.0
871,34329,0.0
872,34330,0.0
873,34331,1.0
874,34332,0.0
875,34333,0.0
876,34334,0.0
877,34335,1.0
878,34336,0.0
879,34337,1.0
880,34338,1.0
881,34339,0.0
882,34340,0.0
883,34341,1.0
884,34342,0.0
885,34343,1.0
886,34344,0.0
887,34345,0.0
888,34346,1.0
889,34347,0.0
890,34348,0.0
891,34349,1.0
892,34350,0.0
893,34351,0.0
894,34352,0.0
895,34353,0.0
896,34354,0.0
897,34355,0.0
898,34356,1.0
899,34357,0.0
900,34358,0.0
901,34359,0.0
902,34360,0.0
903,34361,1.0
904,34362,1.0
905,34363,1.0
906,34364,1.0
907,34365,1.0
908,34366,0.0
909,34367,0.0
910,34368,1.0
911,34369,0.0
912,34370,1.0
913,34371,1.0
914,34372,1.0
915,34373,1.0
916,34374,0.0
917,34375,0.0
918,34376,0.0
919,34377,1.0
920,34378,0.0
921,34379,0.0
922,34380,1.0
923,34381,0.0
924,34382,0.0
925,34383,0.0
926,34384,1.0
927,34385,0.0
928,34386,0.0
929,34387,0.0
930,34388,0.0
931,34389,1.0
932,34390,0.0
933,34391,0.0
934,34392,0.0
935,34393,1.0
936,34394,0.0
937,34395,1.0
938,34396,0.0
939,34397,0.0
940,34398,0.0
941,34399,0.0
942,34400,0.0
943,34401,1.0
944,34402,0.0
945,34403,0.0
946,34404,0.0
947,34405,0.0
948,34406,0.0
949,34407,0.0
950,34408,1.0
951,34409,1.0
952,34410,0.0
953,34411,0.0
954,34412,0.0
955,34413,0.0
956,34414,1.0
957,34415,0.0
958,34416,0.0
959,34417,0.0
960,34418,1.0
961,34419,1.0
962,34420,0.0
963,34421,0.0
964,34422,0.0
965,34423,1.0
966,34424,1.0
967,34425,0.0
968,34426,0.0
969,34427,0.0
970,34428,0.0
971,34429,0.0
972,34430,0.0
973,34431,1.0
974,34432,0.0
975,34433,0.0
976,34434,0.0
977,34435,0.0
978,34436,1.0
979,34437,1.0
980,34438,0.0
981,34439,0.0
982,34440,1.0
983,34441,0.0
984,34442,0.0
985,34443,0.0
986,34444,1.0
987,34445,0.0
988,34446,0.0
989,34447,0.0
990,34448,1.0
991,34449,1.0
992,34450,1.0
993,34451,0.0
994,34452,1.0
995,34453,0.0
996,34454,0.0
997,34455,0.0
998,34456,0.0
999,34457,0.0
1000,34458,0.0
1001,34459,0.0
1002,34460,0.0
1003,34461,0.0
1004,34462,0.0
1005,34463,0.0
1006,34464,0.0
1007,34465,0.0
1008,34466,0.0
1009,34467,0.0
1010,34468,0.0
1011,34469,0.0
1012,34470,1.0
1013,34471,0.0
1014,34472,0.0
1015,34473,1.0
1016,34474,1.0
1017,34475,1.0
1018,34476,1.0
1019,34477,0.0
1020,34478,0.0
1021,34479,0.0
1022,34480,1.0
1023,34481,0.0
1024,34482,1.0
1025,34483,0.0
1026,34484,1.0
1027,34485,0.0
1028,34486,0.0
1029,34487,1.0
1030,34488,0.0
1031,34489,1.0
1032,34490,0.0
1033,34491,0.0
1034,34492,1.0
1035,34493,0.0
1036,34494,1.0
1037,34495,0.0
1038,34496,0.0
1039,34497,0.0
1040,34498,1.0
1041,34499,1.0
1042,34500,1.0
1043,34501,1.0
1044,34502,0.0
1045,34503,0.0
1046,34504,0.0
1047,34505,0.0
1048,34506,1.0
1049,34507,1.0
1050,34508,0.0
1051,34509,1.0
1052,34510,0.0
1053,34511,1.0
1054,34512,1.0
1055,34513,0.0
1056,34514,0.0
1057,34515,1.0
1058,34516,1.0
1059,34517,1.0
1060,34518,0.0
1061,34519,1.0
1062,34520,1.0
1063,34521,0.0
1064,34522,1.0
1065,34523,0.0
1066,34524,0.0
1067,34525,1.0
1068,34526,1.0
1069,34527,1.0
1070,34528,1.0
1071,34529,1.0
1072,34530,0.0
1073,34531,0.0
1074,34532,0.0
1075,34533,0.0
1076,34534,1.0
1077,34535,0.0
1078,34536,0.0
1079,34537,1.0
1080,34538,1.0
1081,34539,1.0
1082,34540,0.0
1083,34541,0.0
1084,34542,1.0
1085,34543,0.0
1086,34544,0.0
1087,34545,0.0
1088,34546,1.0
1089,34547,1.0
1090,34548,0.0
1091,34549,1.0
1092,34550,0.0
1093,34551,0.0
1094,34552,0.0
1095,34553,0.0
1096,34554,0.0
1097,34555,0.0
1098,34556,1.0
1099,34557,1.0
1100,34558,0.0
1101,34559,0.0
1102,34560,0.0
1103,34561,0.0
1104,34562,1.0
1105,34563,0.0
1106,34564,0.0
1107,34565,0.0
1108,34566,0.0
1109,34567,0.0
1110,34568,0.0
1111,34569,0.0
1112,34570,0.0
1113,34571,0.0
1114,34572,1.0
1115,34573,1.0
1116,34574,0.0
1117,34575,1.0
1118,34576,0.0
1119,34577,1.0
1120,34578,0.0
1121,34579,1.0
1122,34580,0.0
1123,34581,0.0
1124,34582,1.0
1125,34583,0.0
1126,34584,1.0
1127,34585,0.0
1128,34586,0.0
1129,34587,0.0
1130,34588,1.0
1131,34589,1.0
1132,34590,1.0
1133,34591,0.0
1134,34592,1.0
1135,34593,0.0
1136,34594,1.0
1137,34595,1.0
1138,34596,0.0
1139,34597,0.0
1140,34598,0.0
1141,34599,0.0
1142,34600,0.0
1143,34601,1.0
1144,34602,0.0
1145,34603,0.0
1146,34604,0.0
1147,34605,0.0
1148,34606,0.0
1149,34607,1.0
1150,34608,0.0
1151,34609,0.0
1152,34610,1.0
1153,34611,1.0
1154,34612,0.0
1155,34613,0.0
1156,34614,1.0
1157,34615,0.0
1158,34616,0.0
1159,34617,0.0
1160,34618,1.0
1161,34619,0.0
1162,34620,0.0
1163,34621,0.0
1164,34622,0.0
1165,34623,0.0
1166,34624,1.0
1167,34625,0.0
1168,34626,1.0
1169,34627,0.0
1170,34628,0.0
1171,34629,0.0
1172,34630,1.0
1173,34631,0.0
1174,34632,0.0
1175,34633,0.0
1176,34634,0.0
1177,34635,0.0
1178,34636,0.0
1179,34637,1.0
1180,34638,0.0
1181,34639,1.0
1182,34640,0.0
1183,34641,0.0
1184,34642,0.0
1185,34643,0.0
1186,34644,0.0
1187,34645,0.0
1188,34646,0.0
1189,34647,0.0
1190,34648,0.0
1191,34649,1.0
1192,34650,0.0
1193,34651,0.0
1194,34652,0.0
1195,34653,1.0
1196,34654,0.0
1197,34655,1.0
1198,34656,1.0
1199,34657,1.0
1200,34658,1.0
1201,34659,0.0
1202,34660,0.0
1203,34661,0.0
1204,34662,0.0
1205,34663,1.0
1206,34664,1.0
1207,34665,0.0
1208,34666,1.0
1209,34667,1.0
1210,34668,0.0
1211,34669,0.0
1212,34670,0.0
1213,34671,1.0
1214,34672,0.0
1215,34673,0.0
1216,34674,0.0
1217,34675,0.0
1218,34676,1.0
1219,34677,0.0
1220,34678,1.0
1221,34679,0.0
1222,34680,0.0
1223,34681,0.0
1224,34682,1.0
1225,34683,0.0
1226,34684,0.0
1227,34685,0.0
1228,34686,0.0
1229,34687,0.0
1230,34688,0.0
1231,34689,1.0
1232,34690,0.0
1233,34691,1.0
1234,34692,0.0
1235,34693,0.0
1236,34694,0.0
1237,34695,0.0
1238,34696,1.0
1239,34697,0.0
1240,34698,1.0
1241,34699,0.0
1242,34700,0.0
1243,34701,0.0
1244,34702,1.0
1245,34703,0.0
1246,34704,1.0
1247,34705,0.0
1248,34706,0.0
1249,34707,1.0
1250,34708,0.0
1251,34709,0.0
1252,34710,1.0
1253,34711,0.0
1254,34712,0.0
1255,34713,1.0
1256,34714,1.0
1257,34715,1.0
1258,34716,0.0
1259,34717,0.0
1260,34718,0.0
1261,34719,0.0
1262,34720,1.0
1263,34721,0.0
1264,34722,0.0
1265,34723,1.0
1266,34724,1.0
1267,34725,0.0
1268,34726,1.0
1269,34727,0.0
1270,34728,1.0
1271,34729,0.0
1272,34730,1.0
1273,34731,0.0
1274,34732,0.0
1275,34733,1.0
1276,34734,0.0
1277,34735,0.0
1278,34736,0.0
1279,34737,0.0
1280,34738,0.0
1281,34739,0.0
1282,34740,0.0
1283,34741,1.0
1284,34742,0.0
1285,34743,0.0
1286,34744,0.0
1287,34745,1.0
1288,34746,1.0
1289,34747,0.0
1290,34748,0.0
1291,34749,0.0
1292,34750,1.0
1293,34751,1.0
1294,34752,0.0
1295,34753,0.0
1296,34754,0.0
1297,34755,0.0
1298,34756,1.0
1299,34757,0.0
1300,34758,0.0
1301,34759,0.0
1302,34760,1.0
1303,34761,0.0
1304,34762,0.0
1305,34763,0.0
1306,34764,1.0
1307,34765,0.0
1308,34766,0.0
1309,34767,0.0
1310,34768,0.0
1311,34769,1.0
1312,34770,0.0
1313,34771,1.0
1314,34772,0.0
1315,34773,1.0
1316,34774,1.0
1317,34775,0.0
1318,34776,0.0
1319,34777,1.0
1320,34778,0.0
1321,34779,0.0
1322,34780,0.0
1323,34781,0.0
1324,34782,0.0
1325,34783,1.0
1326,34784,0.0
1327,34785,1.0
1328,34786,0.0
1329,34787,0.0
1330,34788,0.0
1331,34789,0.0
1332,34790,0.0
1333,34791,1.0
1334,34792,0.0
1335,34793,0.0
1336,34794,1.0
1337,34795,0.0
1338,34796,0.0
1339,34797,0.0
1340,34798,0.0
1341,34799,0.0
1342,34800,0.0
1343,34801,1.0
1344,34802,0.0
1345,34803,0.0
1346,34804,0.0
1347,34805,0.0
1348,34806,0.0
1349,34807,0.0
1350,34808,0.0
1351,34809,1.0
1352,34810,0.0
1353,34811,1.0
1354,34812,1.0
1355,34813,0.0
1356,34814,0.0
1357,34815,0.0
1358,34816,0.0
1359,34817,0.0
1360,34818,0.0
1361,34819,0.0
1362,34820,0.0
1363,34821,0.0
1364,34822,0.0
1365,34823,1.0
1366,34824,0.0
1367,34825,0.0
1368,34826,0.0
1369,34827,1.0
1370,34828,1.0
1371,34829,0.0
1372,34830,1.0
1373,34831,0.0
1374,34832,0.0
1375,34833,1.0
1376,34834,0.0
1377,34835,0.0
1378,34836,0.0
1379,34837,0.0
1380,34838,1.0
1381,34839,0.0
1382,34840,0.0
1383,34841,1.0
1384,34842,0.0
1385,34843,0.0
1386,34844,0.0
1387,34845,0.0
1388,34846,1.0
1389,34847,1.0
1390,34848,0.0
1391,34849,0.0
1392,34850,0.0
1393,34851,0.0
1394,34852,0.0
1395,34853,0.0
1396,34854,0.0
1397,34855,1.0
1398,34856,0.0
1399,34857,0.0
1400,34858,0.0
1401,34859,1.0
1402,34860,0.0
1403,34861,0.0
1404,34862,0.0
1405,34863,0.0
1406,34864,0.0
1407,34865,0.0
1408,34866,0.0
1409,34867,1.0
1410,34868,1.0
1411,34869,0.0
1412,34870,0.0
1413,34871,1.0
1414,34872,0.0
1415,34873,0.0
1416,34874,1.0
1417,34875,0.0
1418,34876,0.0
1419,34877,0.0
1420,34878,0.0
1421,34879,1.0
1422,34880,1.0
1423,34881,0.0
1424,34882,0.0
1425,34883,0.0
1426,34884,0.0
1427,34885,0.0
1428,34886,0.0
1429,34887,0.0
1430,34888,0.0
1431,34889,1.0
1432,34890,1.0
1433,34891,0.0
1434,34892,0.0
1435,34893,0.0
1436,34894,0.0
1437,34895,0.0
1438,34896,1.0
1439,34897,0.0
1440,34898,0.0
1441,34899,0.0
1442,34900,0.0
1443,34901,0.0
1444,34902,0.0
1445,34903,1.0
1446,34904,0.0
1447,34905,0.0
1448,34906,0.0
1449,34907,1.0
1450,34908,0.0
1451,34909,1.0
1452,34910,0.0
1453,34911,1.0
1454,34912,0.0
1455,34913,0.0
1456,34914,0.0
1457,34915,0.0
1458,34916,0.0
1459,34917,1.0
1460,34918,1.0
1461,34919,0.0
1462,34920,0.0
1463,34921,0.0
1464,34922,1.0
1465,34923,1.0
1466,34924,1.0
1467,34925,0.0
1468,34926,1.0
1469,34927,0.0
1470,34928,0.0
1471,34929,0.0
1472,34930,0.0
1473,34931,1.0
1474,34932,0.0
1475,34933,0.0
1476,34934,0.0
1477,34935,1.0
1478,34936,0.0
1479,34937,0.0
1480,34938,1.0
1481,34939,0.0
1482,34940,0.0
1483,34941,1.0
1484,34942,1.0
1485,34943,0.0
1486,34944,1.0
1487,34945,1.0
1488,34946,0.0
1489,34947,0.0
1490,34948,1.0
1491,34949,0.0
1492,34950,0.0
1493,34951,1.0
1494,34952,0.0
1495,34953,1.0
1496,34954,0.0
